Number of Parts,Number of Colors,Time,Objective Value
10,1,0.125,0.0
10,3,0.0795,0.0
10,5,0.0616,0.0
10,7,0.0579,2.0
10,9,0.0644,6.0
20,1,0.1238,0.0
20,5,0.1315,0.0
20,9,0.1352,0.0
20,13,0.1416,4.0
20,17,0.1291,12.0
30,1,0.2837,0.0
30,7,0.2846,0.0
30,13,0.2921,0.0
30,19,0.3244,6.0
30,25,0.2807,18.0
40,1,0.4222,0.0
40,9,0.4373,0.0
40,17,0.43,0.0
40,25,0.5515,8.0
40,33,0.4806,24.0
50,1,0.9312,0.0
50,11,1.2241,0.0
50,21,1.3077,0.0
50,31,1.2417,10.0
50,41,1.4263,30.0
60,1,1.2352,0.0
60,13,1.9441,0.0
60,25,2.3182,0.0
60,37,2.3157,12.0
60,49,1.939,36.0
70,1,2.1487,0.0
70,15,4.0575,0.0
70,29,12.3487,0.0
70,43,3.2043,14.0
70,57,3.3986,42.0
80,1,3.7545,0.0
80,17,6.4846,0.0
80,33,7.0241,0.0
80,49,7.1676,16.0
80,65,4.8018,48.0
90,1,5.9377,0.0
90,19,30.9789,0.0
90,37,34.217,0.0
90,55,8.7876,18.0
90,73,8.0621,54.0
100,1,6.5295,0.0
100,21,39.8165,0.0
100,41,11.9293,0.0
100,61,11.6213,20.0
100,81,9.0738,60.0
110,1,8.8745,0.0
110,23,55.1914,0.0
110,45,42.8476,0.0
110,67,18.7881,22.0
110,89,37.7408,66.0
120,1,12.2801,0.0
120,25,17.8293,0.0
120,49,54.8714,0.0
120,73,46.969,24.0
120,97,49.7781,72.0
130,1,15.3055,0.0
130,27,72.5153,0.0
130,53,28.1028,0.0
130,79,56.8066,26.0
130,105,20.3172,78.0
140,1,19.4389,0.0
140,29,106.4254,0.0
140,57,85.496,0.0
140,85,79.3987,28.0
140,113,30.8071,84.0
150,1,25.083,0.0
150,31,110.4512,0.0
150,61,122.789,0.0
150,91,89.2086,30.0
150,121,93.9331,90.0
